date,sales
2022-05-06,253
2022-05-07,227
2022-05-08,223
2022-05-09,210
2022-05-10,200
2022-05-11,175
2022-05-12,193
2022-05-13,209
2022-05-14,191
2022-05-15,275
2022-05-16,208
2022-05-17,159
2022-05-18,218
2022-05-19,242
2022-05-20,236
2022-05-21,223
2022-05-22,207
2022-05-23,225
2022-05-24,143
2022-05-25,208
2022-05-26,215
2022-05-27,176
2022-05-28,242
2022-05-29,181
2022-05-30,312
2022-05-31,174
2022-06-01,175
2022-06-02,232
2022-06-03,198
2022-06-04,231
2022-06-05,261
2022-06-06,228
2022-06-07,145
2022-06-08,223
2022-06-09,200
2022-06-10,206
2022-06-11,262
2022-06-12,222
2022-06-13,187
2022-06-14,171
2022-06-15,192
2022-06-16,202
2022-06-17,263
2022-06-18,296
2022-06-19,193
2022-06-20,389
2022-06-21,139
2022-06-22,196
2022-06-23,211
2022-06-24,216
2022-06-25,241
2022-06-26,241
2022-06-27,190
2022-06-28,191
2022-06-29,216
2022-06-30,207
2022-07-01,205
2022-07-02,219
2022-07-03,254
2022-07-04,319
2022-07-05,202
2022-07-06,183
2022-07-07,188
2022-07-08,233
2022-07-09,224
2022-07-10,216
2022-07-11,202
2022-07-12,201
2022-07-13,188
2022-07-14,210
2022-07-15,236
2022-07-16,219
2022-07-17,239
2022-07-18,216
2022-07-19,205
2022-07-20,226
2022-07-21,200
2022-07-22,227
2022-07-23,229
2022-07-24,226
2022-07-25,197
2022-07-26,200
2022-07-27,211
2022-07-28,183
2022-07-29,261
2022-07-30,224
2022-07-31,179
2022-08-01,191
2022-08-02,214
2022-08-03,193
2022-08-04,175
2022-08-05,206
2022-08-06,218
2022-08-07,215
2022-08-08,170
2022-08-09,186
2022-08-10,181
2022-08-11,207
2022-08-12,207
2022-08-13,244
2022-08-14,203
2022-08-15,177
2022-08-16,164
2022-08-17,190
2022-08-18,177
2022-08-19,187
2022-08-20,227
2022-08-21,174
2022-08-22,172
2022-08-23,164
2022-08-24,186
2022-08-25,162
2022-08-26,252
2022-08-27,236
2022-08-28,225
2022-08-29,139
2022-08-30,190
2022-08-31,186
2022-09-01,194
2022-09-02,239
2022-09-03,193
2022-09-04,238
2022-09-05,381
2022-09-06,190
2022-09-07,208
2022-09-08,213
2022-09-09,191
2022-09-10,223
2022-09-11,248
2022-09-12,201
2022-09-13,174
2022-09-14,200
2022-09-15,209
2022-09-16,247
2022-09-17,230
2022-09-18,253
2022-09-19,184
2022-09-20,212
2022-09-21,203
2022-09-22,243
2022-09-23,187
2022-09-24,201
2022-09-25,227
2022-09-26,157
2022-09-27,165
2022-09-28,184
2022-09-29,203
2022-09-30,241
2022-10-01,291
2022-10-02,240
2022-10-03,188
2022-10-04,180
2022-10-05,209
2022-10-06,173
2022-10-07,228
2022-10-08,241
2022-10-09,214
2022-10-10,282
2022-10-11,212
2022-10-12,197
2022-10-13,224
2022-10-14,175
2022-10-15,271
2022-10-16,235
2022-10-17,200
2022-10-18,196
2022-10-19,212
2022-10-20,178
2022-10-21,219
2022-10-22,246
2022-10-23,218
2022-10-24,214
2022-10-25,151
2022-10-26,169
2022-10-27,225
2022-10-28,247
2022-10-29,224
2022-10-30,261
2022-10-31,202
2022-11-01,225
2022-11-02,201
2022-11-03,241
2022-11-04,249
2022-11-05,215
2022-11-06,246
2022-11-07,212
2022-11-08,212
2022-11-09,180
2022-11-10,213
2022-11-11,361
2022-11-12,212
2022-11-13,208
2022-11-14,159
2022-11-15,169
2022-11-16,214
2022-11-17,230
2022-11-18,247
2022-11-19,257
2022-11-20,201
2022-11-21,165
2022-11-22,175
2022-11-23,207
2022-11-24,323
2022-11-25,151
2022-11-26,236
2022-11-27,234
2022-11-28,213
2022-11-29,186
2022-11-30,181
2022-12-01,189
2022-12-02,159
2022-12-03,280
2022-12-04,234
2022-12-05,180
2022-12-06,198
2022-12-07,189
2022-12-08,184
2022-12-09,220
2022-12-10,213
2022-12-11,205
2022-12-12,176
2022-12-13,228
2022-12-14,200
2022-12-15,186
2022-12-16,211
2022-12-17,253
2022-12-18,210
2022-12-19,212
2022-12-20,191
2022-12-21,189
2022-12-22,188
2022-12-23,194
2022-12-24,176
2022-12-25,185
2022-12-26,349
2022-12-27,214
2022-12-28,195
2022-12-29,211
2022-12-30,233
2022-12-31,296
2023-01-01,237
2023-01-02,348
2023-01-03,187
2023-01-04,167
2023-01-05,204
2023-01-06,203
2023-01-07,238
2023-01-08,229
2023-01-09,178
2023-01-10,235
2023-01-11,217
2023-01-12,199
2023-01-13,235
2023-01-14,225
2023-01-15,228
2023-01-16,362
2023-01-17,198
2023-01-18,179
2023-01-19,196
2023-01-20,178
2023-01-21,240
2023-01-22,234
2023-01-23,238
2023-01-24,155
2023-01-25,211
2023-01-26,186
2023-01-27,219
2023-01-28,236
2023-01-29,194
2023-01-30,200
2023-01-31,167
2023-02-01,205
2023-02-02,198
2023-02-03,221
2023-02-04,206
2023-02-05,220
2023-02-06,215
2023-02-07,200
2023-02-08,180
2023-02-09,201
2023-02-10,229
2023-02-11,213
2023-02-12,226
2023-02-13,186
2023-02-14,181
2023-02-15,184
2023-02-16,163
2023-02-17,212
2023-02-18,253
2023-02-19,239
2023-02-20,323
2023-02-21,191
2023-02-22,166
2023-02-23,198
2023-02-24,174
2023-02-25,233
2023-02-26,228
2023-02-27,182
2023-02-28,154
2023-03-01,220
2023-03-02,188
2023-03-03,208
2023-03-04,184
2023-03-05,212
2023-03-06,228
2023-03-07,137
2023-03-08,184
2023-03-09,211
2023-03-10,199
2023-03-11,229
2023-03-12,235
2023-03-13,201
2023-03-14,186
2023-03-15,223
2023-03-16,205
2023-03-17,221
2023-03-18,222
2023-03-19,241
2023-03-20,191
2023-03-21,184
2023-03-22,191
2023-03-23,205
2023-03-24,260
2023-03-25,251
2023-03-26,208
2023-03-27,224
2023-03-28,191
2023-03-29,159
2023-03-30,179
2023-03-31,174
2023-04-01,239
2023-04-02,219
2023-04-03,233
2023-04-04,174
2023-04-05,195
2023-04-06,216
2023-04-07,176
2023-04-08,243
2023-04-09,244
2023-04-10,170
2023-04-11,187
2023-04-12,206
2023-04-13,191
2023-04-14,208
2023-04-15,256
2023-04-16,233
2023-04-17,204
2023-04-18,175
2023-04-19,183
2023-04-20,216
2023-04-21,221
2023-04-22,243
2023-04-23,224
2023-04-24,209
2023-04-25,201
2023-04-26,220
2023-04-27,189
2023-04-28,208
2023-04-29,226
2023-04-30,246
2023-05-01,207
2023-05-02,217
2023-05-03,181
2023-05-04,217
2023-05-05,260
2023-05-06,254
2023-05-07,259
2023-05-08,184
2023-05-09,152
2023-05-10,164
2023-05-11,229
2023-05-12,234
2023-05-13,253
2023-05-14,218
2023-05-15,177
2023-05-16,243
2023-05-17,202
2023-05-18,202
2023-05-19,237
2023-05-20,260
2023-05-21,208
2023-05-22,184
2023-05-23,191
2023-05-24,237
2023-05-25,226
2023-05-26,256
2023-05-27,233
2023-05-28,194
2023-05-29,334
2023-05-30,181
2023-05-31,221
2023-06-01,166
2023-06-02,253
2023-06-03,230
2023-06-04,215
2023-06-05,179
2023-06-06,159
2023-06-07,216
2023-06-08,201
2023-06-09,200
2023-06-10,180
2023-06-11,244
2023-06-12,233
2023-06-13,184
2023-06-14,169
2023-06-15,195
2023-06-16,231
2023-06-17,189
2023-06-18,215
2023-06-19,338
2023-06-20,177
2023-06-21,236
2023-06-22,222
2023-06-23,213
2023-06-24,216
2023-06-25,279
2023-06-26,201
2023-06-27,200
2023-06-28,199
2023-06-29,203
2023-06-30,224
2023-07-01,228
2023-07-02,213
2023-07-03,199
2023-07-04,326
2023-07-05,185
2023-07-06,202
2023-07-07,208
2023-07-08,243
2023-07-09,188
2023-07-10,221
2023-07-11,199
2023-07-12,158
2023-07-13,193
2023-07-14,231
2023-07-15,187
2023-07-16,246
2023-07-17,177
2023-07-18,222
2023-07-19,218
2023-07-20,225
2023-07-21,219
2023-07-22,231
2023-07-23,206
2023-07-24,209
2023-07-25,163
2023-07-26,214
2023-07-27,195
2023-07-28,236
2023-07-29,249
2023-07-30,225
2023-07-31,192
2023-08-01,216
2023-08-02,150
2023-08-03,212
2023-08-04,198
2023-08-05,220
2023-08-06,267
2023-08-07,160
2023-08-08,187
2023-08-09,199
2023-08-10,187
2023-08-11,206
2023-08-12,217
2023-08-13,235
2023-08-14,157
2023-08-15,179
2023-08-16,180
2023-08-17,242
2023-08-18,185
2023-08-19,269
2023-08-20,226
2023-08-21,214
2023-08-22,141
2023-08-23,202
